,active_installs,cloud_avg_price,cloud_max_price,cloud_min_price,cloud_review_rate1,cloud_review_rate2,cloud_review_rate3,cloud_review_rate4,cloud_review_rate5,delta_installs,deployment_cloud,deployment_data_center,deployment_server,description,downloads,is_top_vendor,is_vendor_atlasian,license,market_name,marketplace_type,plugin_system_version,rating_num,rating_score,rating_stars,release_date,vendor_name,version,version_build_number,server_avg_price,server_max_price,server_min_price,server_review_rate1,server_review_rate2,server_review_rate3,server_review_rate4,server_review_rate5,dataCenter_avg_price,dataCenter_max_price,dataCenter_min_price,dataCenter_review_rate1,dataCenter_review_rate2,dataCenter_review_rate3,dataCenter_review_rate4,dataCenter_review_rate5
117,630.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0,Sum up the work logs of the tiniest child issues to the epic,884.0,0.0,0.0,commercial-free,EpicTime for Jira - Sum of Worklogs,Free,Two,7.0,2.215500278397675,3.571428537368774,1566488443114.0,Teamlead,1.0.4,100000070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,46.0,,,,,,,,,-2.0,0.0,1.0,1.0,Manage work log visibility for Privacy or Compliance purposes required by Works Councils/Betriebsrat - Driven by GDPR/DSGVO,678.0,0.0,0.0,commercial,UnView for Jira Server and Data Center,Paid via Atlassian,Two,6.0,1.859014635828471,3.166666746139526,1571729357871.0,Accxia,7.0.1.3,1000490.0,2478.0,6750.0,10.0,4.0,1.0,4.0,4.0,2.0,9465.0,24000.0,1100.0,4.0,0.0,0.0,0.0,0.0
119,23.0,11678.0,23750.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,"Meet the lean time tracking approach, a better alternative to manual work logging. Timesheets without gaps, work without reminders",121.0,0.0,0.0,commercial,Quantify TimeSpent Pro,Paid via Atlassian,Two,4.0,2.208993904840618,4.0,1598982871872.0,Quantify Technologies Inc.,1.1.23,1002426.0,17427.0,67000.0,100.0,0.0,0.0,0.0,0.0,0.0,21814.0,45000.0,1300.0,0.0,0.0,0.0,0.0,0.0
120,339.0,,,,,,,,,-4.0,0.0,0.0,1.0,Retrieve time tracking data in JSON format via an authenticated RESTful service,3608.0,0.0,0.0,asl,RESTful Worklog Query,Free,Two,4.0,1.73756697984877,3.25,1361426400000.0,Everit Kft.,3.0.2,201506101475.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,
121,24.0,,,,,,,,,1.0,0.0,0.0,1.0,Quickly create and categorize cross project worklogs with custom defined worklog types,203.0,0.0,0.0,commercial,Worklog express,Paid via Atlassian,Two,3.0,2.030545624680458,4.0,1583834703248.0,END2END d.o.o.,8.5.2-SNAPSHOT,800500200.0,2531.0,12500.0,10.0,4.0,4.0,4.0,0.0,0.0,,,,,,,,
122,323.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,Fast resource scheduling and capacity planning for your Jira projects,0.0,0.0,0.0,commercial,Float - Resource Management,Free,Three,4.0,1.481238879880811,2.75,1590365886641.0,Float,1.4.2-AC,1004002.0,,,,,,,,,,,,,,,,
123,14.0,,,,,,,,,3.0,0.0,0.0,1.0,"Create contracts from Tempo Accounts, track service progress & worklogs and grow your billable hours amount using smart reporting",164.0,0.0,0.0,commercial,ContractsPro - Contract Manager for Jira,Paid via Atlassian,Two,9.0,2.713415450110088,4.0,1581085668388.0,MindPro Apps,1.7.0,100700000.0,392.0,1500.0,10.0,4.0,4.0,4.0,4.0,0.0,,,,,,,,
124,22.0,3541.0,10250.0,2.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,PMP® approved time tracking technique that is providing accuracy to your original estimates,4.0,0.0,0.0,commercial,PERT calculator,Paid via Atlassian,Three,3.0,2.030545624680458,4.0,1516752274538.0,Obi Wan Soft LLC,1.1.12-AC,1001012.0,,,,,,,,,,,,,,,,
125,219.0,0.0,0.0,0.0,2.0,4.0,1.0,4.0,4.0,3.0,1.0,0.0,0.0,Overview: Monitor time in status at a glance. Identify bottlenecks easily with Timentify,0.0,0.0,0.0,commercial-free,Timentify,Free,Three,8.0,1.864786355321714,3.0,1584121034074.0,Ledgerify,1.0.8-AC,1000008.0,,,,,,,,,,,,,,,,
126,221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Real-time Analytics on Work and Collaboration Across all your Tools,6.0,0.0,0.0,commercial-free,Worklytics Data Connector,Free,Three,3.0,2.030545624680458,4.0,1450191610147.0,"Worklytics, Co",1.1.10-AC,1001010.0,,,,,,,,,,,,,,,,
